Repository Path,Filename,Format,File Size (Bytes),File Size (Formatted),Width,Height,Classification,Is Referenced,Reference Count,Target Recommendation
"apps/web/public/cat-fertilizers.png","cat-fertilizers.png","Raster (PNG)",685226,"669.17 KB",,,"CATEGORY_IMAGE",true,1,"MIGRATE_TO_SUPABASE_STORAGE"
"apps/web/public/cat-plants.png","cat-plants.png","Raster (PNG)",660261,"644.79 KB",,,"CATEGORY_IMAGE",true,1,"MIGRATE_TO_SUPABASE_STORAGE"
"apps/web/public/cat-pots.png","cat-pots.png","Raster (PNG)",555287,"542.27 KB",,,"CATEGORY_IMAGE",true,1,"MIGRATE_TO_SUPABASE_STORAGE"
"apps/web/public/cat-seeds.png","cat-seeds.png","Raster (PNG)",599240,"585.2 KB",,,"CATEGORY_IMAGE",true,1,"MIGRATE_TO_SUPABASE_STORAGE"
"apps/web/public/cat-tools.png","cat-tools.png","Raster (PNG)",622011,"607.43 KB",,,"CATEGORY_IMAGE",true,1,"MIGRATE_TO_SUPABASE_STORAGE"
"apps/web/public/file.svg","file.svg","Vector (SVG)",391,"391 B",16,16,"APPLICATION_ASSET",true,1,"KEEP_IN_REPOSITORY"
"apps/web/public/floria-logo.png","floria-logo.png","Raster (PNG)",646866,"631.71 KB",2000,2000,"LOGO",true,37,"KEEP_IN_REPOSITORY"
"apps/web/public/globe.svg","globe.svg","Vector (SVG)",1035,"1.01 KB",16,16,"APPLICATION_ASSET",false,0,"KEEP_IN_REPOSITORY"
"apps/web/public/hero-plants.png","hero-plants.png","Raster (PNG)",666021,"650.41 KB",,,"BANNER",true,1,"MIGRATE_TO_SUPABASE_STORAGE"
"apps/web/public/next.svg","next.svg","Vector (SVG)",1375,"1.34 KB",394,80,"APPLICATION_ASSET",false,0,"KEEP_IN_REPOSITORY"
"apps/web/public/nursery-1.png","nursery-1.png","Raster (PNG)",1251939,"1.19 MB",,,"NURSERY_IMAGE",true,2,"MIGRATE_TO_SUPABASE_STORAGE"
"apps/web/public/nursery-2.png","nursery-2.png","Raster (PNG)",1312294,"1.25 MB",,,"NURSERY_IMAGE",true,1,"MIGRATE_TO_SUPABASE_STORAGE"
"apps/web/public/nursery-3.png","nursery-3.png","Raster (PNG)",1232142,"1.18 MB",,,"NURSERY_IMAGE",true,1,"MIGRATE_TO_SUPABASE_STORAGE"
"apps/web/public/nursery-4.png","nursery-4.png","Raster (PNG)",1279142,"1.22 MB",,,"NURSERY_IMAGE",true,1,"MIGRATE_TO_SUPABASE_STORAGE"
"apps/web/public/vercel.svg","vercel.svg","Vector (SVG)",128,"128 B",1155,1000,"APPLICATION_ASSET",false,0,"KEEP_IN_REPOSITORY"
"apps/web/public/window.svg","window.svg","Vector (SVG)",385,"385 B",16,16,"APPLICATION_ASSET",false,0,"KEEP_IN_REPOSITORY"
"apps/web/src/app/favicon.ico","favicon.ico","Icon (ICO)",25931,"25.32 KB",,,"APPLICATION_ASSET",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/arrow-left.svg","arrow-left.svg","Vector (SVG)",291,"291 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/arrow-right.svg","arrow-right.svg","Vector (SVG)",291,"291 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/check.svg","check.svg","Vector (SVG)",284,"284 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/chevron-down.svg","chevron-down.svg","Vector (SVG)",283,"283 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/close.svg","close.svg","Vector (SVG)",284,"284 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/delete.svg","delete.svg","Vector (SVG)",321,"321 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/edit.svg","edit.svg","Vector (SVG)",345,"345 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/filter.svg","filter.svg","Vector (SVG)",288,"288 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/minus.svg","minus.svg","Vector (SVG)",272,"272 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/more.svg","more.svg","Vector (SVG)",343,"343 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/plus.svg","plus.svg","Vector (SVG)",279,"279 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/refresh.svg","refresh.svg","Vector (SVG)",384,"384 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/actions/share.svg","share.svg","Vector (SVG)",391,"391 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
